nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Nataylia,,"""Afua's Diary"", 'Meet the Adebanjos', '5th Screen Nation Film and Television Awards 27', 'Breach Drama'","Reparto', 'Composición', 'Guion'",
Louis Hyde,,"""Afua's Diary"", 'Policía de barrio', 'None', 'None'",Reparto',
Richard Goble,,"Sensation', ""Afua's Diary"", ""I'm Still Here"", 'Gangsters Gamblers Geezers'",Reparto',
Juliet Amoah,,"""Afua's Diary"", 'None', 'None', 'None'",Reparto',
Amber Cella,,"A New Feminist Discourse', ""Mime's the Word"", 'Camping with Helga', 'Do Something with Your Life'","Reparto', 'Producción', 'Guion'",
Sean Gilchrist,,"Genre Machine', 'Victor', 'Transitions', 'Sidelined'","Dirección', 'Edición', 'Dirección de fotografía y cámara'",
Iva Kapsikova,,"In the Garden', 'Stockholders', 'Pinky', ""All the Crap I've Ever Written""","Reparto', 'Guion', 'Producción'",
Mike Klemak,1981,"An Undeniable Fact', 'Standard Action', 'ART An Unexpected Vocation', 'Arrow'","Reparto', 'Arte', 'Guion'",
Megan Phillips,,"Breakup Time Machine', 'Beeba Boys', 'Bonanza', 'The Actor Diaries'","Reparto', 'Guion', 'Producción'",
Izabelle Leite,199,"Sixteen', 'Narendra', 'World Famous Lover', 'Mr. Majnu'",Reparto',
Nilesh,1971,"Sanju', 'Vaastav: The Reality', 'Pitaah', 'Hathyar: Face to Face with Reality'",Reparto',
Mox Rathore,,"Gunjan Saxena: La chica de Kargil', 'Asal Main the True Love Story', 'Mhane Pyaro Laage Maro Marwari Desh', 'Game'","Reparto', 'Guion', 'Edición'",
Danny Donnelly,,"Not for Nothing', 'Desde otro lugar', 'The Arrangement', 'Last Known Location'","Reparto', 'Dirección', 'Producción'",16
Frank Halbiger,,"""Baking Cookies for a Witch's Funeral"", 'The Reckoning', 'Boss Man', 'Rascal'","Reparto', 'Dirección', 'Guion'",
Andrew Hunsicker,,"House of Cards', 'The Arrangement', 'Habemus Papam: Una historia de poder', 'Law of Perdition'","Reparto', 'Producción', 'Guion'",3
Michael Everett Johnson,,"Ley y orden', 'Billions', 'Princess of the Trap House', 'Love Inside the Drug Game'","Reparto', 'Dirección de fotografía y cámara', 'Dirección'",3
Michael Abaï,,"Au nom de la vérité', 'Lola...', 'Le jour où tout a basculé', 'Les Colocs'",Reparto',
Geraldine Blachon,,"Lola...', 'None', 'None', 'None'",Reparto',
Claire Garance,,"Lola...', 'Entre deux chairs', 'None', 'None'",Reparto',
Raphael Roger Levy,,"The Serpent Queen', 'FBI: International', 'La serpiente', 'Versailles'",Reparto',
Elodie Petrone,,"Lola...', 'None', 'None', 'None'",Reparto',
Luis A. Lozada Jr.,,"Vico C: La Vida Del Filósofo', ""God's Eye"", 'Los Domirriqueños 2', 'None'",Reparto',
Mariangelie Vélez,,"Los Reyes de la Salsa', 'Mi abuelo se quiere casar', 'Rosaura', 'Vico C: La Vida Del Filósofo'",Reparto',
César Farrait,,"Animal', 'Back to the Beginning', 'Double Tap', 'The Final Chapter'","Reparto', 'Guion', 'Producción'",
Nore-Liz Latorre,,"Vico C: La Vida Del Filósofo', 'None', 'None', 'None'",Reparto',
Xavier Antonio Morales,,"Che, el argentino', 'Extorsión', 'Por amor en el caserio', 'Bryan Lopez: Perder & ADMV'","Reparto', 'Dirección'",
Luisa Benítez,,"Vico C: La Vida Del Filósofo', 'None', 'None', 'None'",Reparto',
Bryan Reyes Gago,,"Vico C: La Vida Del Filósofo', 'Oportunidad', 'LFM TV', 'None'",Reparto',
Osvaldo Otero,,"La Leyenda', 'Vico C: La Vida Del Filósofo', 'None', 'None'","Reparto', 'Equipos adicionales'",
Luis Clemente-Rivera,,"Vico C: La Vida Del Filósofo', 'None', 'None', 'None'",Reparto',
Omar Cruz Soto,,"De-mentes criminales', 'Runner Runner', 'Necesitaban', 'Secuestrada'","Reparto', 'Equipos adicionales', 'Producción'",
Valeria Bilello,1982,"Una villa en la Toscana', 'Sense8', 'Lejos de ti', 'Fanum e il Demone Etrusco'",Reparto',1
Lavinia Longhi,198,"Mario', 'La leggenda di Bob Wind', 'I giorni della vendemmia', 'Don Matteo'",Reparto',
Giorgio Pasotti,1973,"Abbi Fede', 'Después de medianoche', 'Io, Arlecchino', ""L'aria salata""","Reparto', 'Dirección', 'Guion'",12
Lunetta Savino,1957,"Tengo algo que deciros', 'Il candidato', 'La fuga', 'Liberate i pesci!'",Reparto',5
Roberto Herlitzka,1937,"Buenos días, noche', 'La gran belleza', ""L'ultima lezione"", 'Il rosso e il blu'","Reparto', 'Equipos adicionales'",6
Franco Moscon,,"Habemus Papam', 'Tren de noche a Lisboa', 'La dama velada', 'Con la cabeza llena de miel'","Reparto', 'Equipos adicionales'",
Maurizio Tabani,,"Mr. & Mrs. Smith', ""L'ultima mazurka"", 'Piazza Fontana: La conspiración italiana', 'Ödipussi'",Reparto',
Fabio Calvi,,"Grande Fratello', 'I menù di Benedetta', 'Balalaika - Dalla Russia col pallone', 'Stasera Casa Mika'","Dirección', 'Reparto', 'Edición'",
